id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status,file_Name,policy_start,policy_end,car_age,car_age_group,car_eng_pow_group,customer_age_group,exposure
1,Lamborghini,1992,141.0,18.0,,1525.21,P47864,Married,task_data_1.csv,2020-07-25,2021-08-27,30.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
2,Volkswagen,1991,363.0,67.0,36350,1300.98,P67035,Single,task_data_1.csv,2019-11-16,2021-08-25,31.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
3,Nissan,2003,460.0,32.0,,309.57,P09228,Single,task_data_1.csv,2019-07-23,2021-12-16,19.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
4,Kia,2007,221.0,37.0,,875.73,P34919,Married,task_data_1.csv,2019-08-05,2022-01-29,15.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
5,Lamborghini,2009,238.0,22.0,,924.34,P33680,Married,task_data_1.csv,2019-01-16,2021-11-29,13.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
6,GMC,2003,227.0,39.0,,1860.65,P00554,Single,task_data_1.csv,2019-07-11,2021-12-31,19.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
7,Volkswagen,1967,408.0,55.0,,2328.08,P65389,Married,task_data_1.csv,2019-11-02,2021-04-07,55.4,"[35.4, 61.4)",250+,"[50, 60)",1.0
8,Nissan,2009,493.0,61.0,9713,1525.23,P75370,Married,task_data_1.csv,2019-08-30,2021-07-23,13.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
9,Ford,2002,284.0,68.0,,801.2,P65337,Single,task_data_1.csv,2020-12-01,2021-12-17,20.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
10,Mazda,2001,193.0,89.0,665670,1792.99,P54036,Single,task_data_1.csv,2019-09-08,2021-04-24,21.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
11,Audi,2003,360.0,22.0,,371.17,P87235,Married,task_data_1.csv,2019-06-19,2021-05-01,19.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
12,Toyota,1998,492.0,27.0,59199,43.09,P57659,Single,task_data_1.csv,2020-03-10,2021-04-04,24.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
13,Honda,2006,100.0,51.0,,1175.55,P44085,Single,task_data_1.csv,2020-03-18,2021-09-26,16.4,"[9.4, 35.4)",100-250,"[50, 60)",1.0
14,Land Rover,1994,417.0,19.0,,1209.88,P43117,Married,task_data_1.csv,2019-10-22,2021-09-13,28.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
15,Lamborghini,2003,465.0,78.0,602257,0.0,P83969,Single,task_data_1.csv,2020-01-21,2022-01-22,19.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
16,Smart,2009,357.0,49.0,,797.1,P68211,Single,task_data_1.csv,2019-05-18,2021-07-12,13.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
17,Porsche,1999,287.0,17.0,,1692.77,P27226,Single,task_data_1.csv,2020-11-30,2021-04-28,23.4,"[9.4, 35.4)",250+,"[20, 30)",0.40794814404128765
18,Pontiac,1984,248.0,16.0,,1262.72,P41308,Married,task_data_1.csv,2019-10-22,2021-10-23,38.4,"[35.4, 61.4)",100-250,"[20, 30)",1.0
19,Nissan,2009,77.0,39.0,,1800.86,P06504,Married,task_data_1.csv,2019-09-26,2021-06-18,13.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
20,Volvo,2009,55.0,32.0,4213305,495.96,P03791,Single,task_data_1.csv,2019-06-15,2021-10-31,13.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
21,Acura,1994,351.0,31.0,,2423.96,P00791,Married,task_data_1.csv,2019-09-21,2021-11-10,28.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
22,Lexus,1994,274.0,50.0,55590,922.79,P41942,Married,task_data_1.csv,2019-02-03,2021-08-21,28.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
23,Pontiac,2002,77.0,23.0,,0.0,P03583,Single,task_data_1.csv,2019-09-28,2021-09-08,20.4,"[9.4, 35.4)",0-100,"[20, 30)",0.0
24,Chevrolet,2011,82.0,63.0,70130,943.67,P92212,Married,task_data_1.csv,2019-04-25,2021-12-14,11.4,"[9.4, 35.4)",0-100,"[60, 70)",1.0
25,Chevrolet,2005,67.0,87.0,8201,1374.08,P47238,Married,task_data_1.csv,2019-05-09,2021-09-06,17.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
26,Mazda,1996,51.0,92.0,,2157.56,P56750,Single,task_data_1.csv,2019-08-25,2021-03-08,26.4,"[9.4, 35.4)",0-100,"[90, 100)",1.0
27,Subaru,1994,438.0,79.0,G0E,1867.29,P74933,Married,task_data_1.csv,2019-06-12,2021-01-10,28.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
28,Volvo,1995,57.0,85.0,,0.0,P87907,Single,task_data_1.csv,2019-08-21,2021-09-03,27.4,"[9.4, 35.4)",0-100,"[80, 90)",0.0
29,Ford,2000,488.0,88.0,,1531.61,P65569,Married,task_data_1.csv,2020-07-21,2021-10-23,22.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
30,Pontiac,1993,405.0,19.0,658810,0.0,P88564,Single,task_data_1.csv,2020-11-05,2021-01-30,29.4,"[9.4, 35.4)",250+,"[20, 30)",0.0
31,Chevrolet,2011,436.0,61.0,,1099.76,P37375,Single,task_data_1.csv,2020-02-20,2021-07-29,11.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
32,Mercury,2001,466.0,75.0,,0.0,P70698,Single,task_data_1.csv,2019-09-25,2021-08-04,21.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
33,Pontiac,1986,478.0,30.0,5516,1417.96,P85051,Single,task_data_1.csv,2020-06-15,2021-12-15,36.4,"[35.4, 61.4)",250+,"[30, 40)",1.0
34,Honda,2008,395.0,39.0,,533.1,P83726,Married,task_data_1.csv,2020-02-27,2021-01-09,14.4,"[9.4, 35.4)",250+,"[30, 40)",0.8679165212153569
35,Ford,2006,69.0,84.0,34650,1903.24,P69694,Single,task_data_1.csv,2020-12-02,2021-04-01,16.4,"[9.4, 35.4)",0-100,"[80, 90)",0.3285488408386209
35,Ford,2006,69.0,84.0,34650,1903.24,P69694,Single,task_data_1.csv,2019-12-17,2021-05-26,16.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
36,Dodge,2003,57.0,79.0,,1674.94,P49114,Married,task_data_1.csv,2019-08-07,2022-01-26,19.4,"[9.4, 35.4)",0-100,"[70, 80)",1.0
37,GMC,2002,271.0,54.0,,1444.06,P30013,Single,task_data_1.csv,2020-12-08,2021-12-25,20.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
38,Toyota,2011,458.0,49.0,,1914.19,P16559,Married,task_data_1.csv,2019-06-24,2021-06-28,11.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
39,Bentley,2012,437.0,65.0,,2081.22,P21146,Single,task_data_1.csv,2019-08-25,2021-06-14,10.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
40,Acura,2007,209.0,67.0,,43.85,P60650,Married,task_data_1.csv,2020-10-08,2021-10-28,15.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
41,Mercedes-Benz,1983,154.0,26.0,2902,1626.57,P09018,Married,task_data_1.csv,2020-07-05,2021-11-20,39.4,"[35.4, 61.4)",100-250,"[20, 30)",1.0
42,Dodge,2003,389.0,62.0,68710000,215.26,P36756,Married,task_data_1.csv,2019-04-15,2022-01-30,19.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
43,Dodge,2001,196.0,90.0,,373.55,P21365,Single,task_data_1.csv,2019-07-27,2021-03-08,21.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
